topic,date,avg_sentiment,avg_popularity,sample_size
Artificial Intelligence,2024-09-02,0.5825265306122449,93.55102040816327,49
Artificial Intelligence,2024-09-03,0.5792141509433962,90.22641509433963,53
Artificial Intelligence,2024-09-04,0.5641707547169812,93.24528301886792,53
Artificial Intelligence,2024-09-05,0.559351923076923,119.98076923076923,52
Artificial Intelligence,2024-09-06,0.5781360294117647,91.52941176470588,68
Artificial Intelligence,2024-09-07,0.5650066666666667,97.18333333333334,60
Artificial Intelligence,2024-09-08,0.5906962264150943,99.24528301886792,53
Artificial Intelligence,2024-09-09,0.6016990909090909,98.96363636363637,55
Artificial Intelligence,2024-09-10,0.6184654545454545,91.12727272727273,55
Artificial Intelligence,2024-09-11,0.6138811475409837,89.01639344262296,61
Artificial Intelligence,2024-09-12,0.5952433962264151,94.32075471698113,53
Artificial Intelligence,2024-09-13,0.5649009433962264,92.81132075471699,53
Artificial Intelligence,2024-09-14,0.5765250000000001,102.68181818181819,44
Artificial Intelligence,2024-09-15,0.5820023809523809,98.42857142857143,42
Artificial Intelligence,2024-09-16,0.5941877777777778,99.71111111111111,45
Artificial Intelligence,2024-09-17,0.580585294117647,92.70588235294117,51
Artificial Intelligence,2024-09-18,0.5984175925925925,103.0925925925926,54
Artificial Intelligence,2024-09-19,0.6275433823529412,100.41176470588235,68
Artificial Intelligence,2024-09-20,0.6024425373134328,93.5223880597015,67
Artificial Intelligence,2024-09-21,0.5838090909090908,91.30909090909091,55
Artificial Intelligence,2024-09-23,0.5147822033898305,92.7457627118644,59
Artificial Intelligence,2024-09-24,0.60906953125,87.3125,64
Artificial Intelligence,2024-09-25,0.5752563636363636,90.89090909090909,55
Artificial Intelligence,2024-09-26,0.5812036363636364,94.12727272727273,55
Artificial Intelligence,2024-09-27,0.534307894736842,88.26315789473684,57
Artificial Intelligence,2024-09-28,0.5621163265306123,103.24489795918367,49
Artificial Intelligence,2024-09-29,0.564362,106.24,50
Artificial Intelligence,2024-09-30,0.5446990196078432,98.05882352941177,51
Artificial Intelligence,2024-10-01,0.6286577586206896,90.94827586206897,58
Artificial Intelligence,2024-10-02,0.6535555555555556,92.64814814814815,54
Artificial Intelligence,2024-10-03,0.5895245614035087,95.87719298245614,57
Artificial Intelligence,2024-10-04,0.6109507936507936,91.88888888888889,63
Artificial Intelligence,2024-10-05,0.5565390909090909,100.98181818181818,55
Artificial Intelligence,2024-10-06,0.5724654545454546,103.50909090909092,55
Artificial Intelligence,2024-10-07,0.5690285714285714,103.05357142857143,56
Artificial Intelligence,2024-10-08,0.5968818181818182,99.03636363636363,55
Artificial Intelligence,2024-10-09,0.58679765625,91.9375,64
Artificial Intelligence,2024-10-10,0.5542582089552239,99.25373134328358,67
Artificial Intelligence,2024-10-11,0.5483,96.89830508474576,59
Artificial Intelligence,2024-10-12,0.5681971698113207,102.35849056603773,53
Artificial Intelligence,2024-10-13,0.5636088235294118,108.96078431372548,51
Artificial Intelligence,2024-10-14,0.551533064516129,101.98387096774194,62
Artificial Intelligence,2024-10-15,0.5411596774193548,96.91935483870968,62
Artificial Intelligence,2024-10-16,0.577159375,100.84375,64
Artificial Intelligence,2024-10-17,0.562886,90.22666666666667,75
Artificial Intelligence,2024-10-18,0.57717578125,97.5,64
Artificial Intelligence,2024-10-19,0.562527358490566,97.81132075471699,53
Artificial Intelligence,2024-10-20,0.5463546296296296,87.4074074074074,54
Artificial Intelligence,2024-10-21,0.5371203703703704,92.4074074074074,54
Artificial Intelligence,2024-10-22,0.6209277777777777,98.86666666666666,45
Artificial Intelligence,2024-10-23,0.572573,94.78,50
Artificial Intelligence,2024-10-24,0.561156,99.36,50
Artificial Intelligence,2024-10-25,0.6183372727272727,102.52727272727273,55
Artificial Intelligence,2025-10-11,0.6343244897959184,93.25510204081633,98
Artificial Intelligence,2025-10-12,0.5788039215686274,96.48039215686275,102
Artificial Intelligence,2025-10-13,0.5842217821782179,87.82178217821782,101
Artificial Intelligence,2025-10-14,0.5805221153846154,97.77884615384616,104
Artificial Intelligence,2025-10-15,0.5936351063829787,95.42553191489361,94
Artificial Intelligence,2025-10-16,0.5490048913043478,93.8913043478261,92
Artificial Intelligence,2025-10-17,0.569855376344086,94.97849462365592,93
Artificial Intelligence,2025-10-18,0.577066504854369,94.68932038834951,103
Artificial Intelligence,2025-10-19,0.5724061946902654,91.23893805309734,113
Artificial Intelligence,2025-10-20,0.5657675925925926,96.35185185185185,108
Artificial Intelligence,2025-10-21,0.5839121495327103,99.17757009345794,107
Artificial Intelligence,2025-10-22,0.5803540404040404,96.74747474747475,99
Artificial Intelligence,2025-10-23,0.5916111650485437,97.5631067961165,103
Artificial Intelligence,2025-10-24,0.5962980582524272,96.80582524271844,103
Artificial Intelligence,2025-10-25,0.5938980582524273,101.59223300970874,103
Artificial Intelligence,2025-10-26,0.5844189320388349,93.51456310679612,103
Artificial Intelligence,2025-10-27,0.55709900990099,99.08910891089108,101
Artificial Intelligence,2025-10-28,0.5889106060606061,92.74747474747475,99
Artificial Intelligence,2025-10-29,0.5756957943925234,98.01869158878505,107
Artificial Intelligence,2025-10-30,0.5691984848484849,104.70707070707071,99
Artificial Intelligence,2025-10-31,0.5685619266055046,99.6697247706422,109
Artificial Intelligence,2025-11-01,0.5604310185185185,91.22222222222223,108
Artificial Intelligence,2025-11-02,0.5746951923076923,96.6923076923077,104
Artificial Intelligence,2025-11-03,0.5930984693877551,91.34693877551021,98
Artificial Intelligence,2025-11-04,0.624871264367816,104.54022988505747,87
